SIGLA;DIA;HORA;LOCAL
PI0033;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0034;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0035;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0036;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0037;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0038;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0039;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0040;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0041;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0042;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0043;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0044;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0045;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0046;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0047;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0048;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0049;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0050;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0051;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0052;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0053;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0054;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0055;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0056;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0057;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0058;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0059;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0060;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0061;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0062;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0063;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0064;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0065;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0066;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0067;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0068;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0069;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0070;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0071;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0072;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0073;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0074;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0075;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0076;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0077;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0078;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0079;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0080;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0081;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0082;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0083;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0084;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0085;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0086;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0087;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0088;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0089;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0090;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0091;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0092;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0093;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0094;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0095;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0096;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0097;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0098;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0099;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0100;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0101;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0102;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0103;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0104;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0105;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0106;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0107;2015-09-15;8:00 - 11:30 h;Foyer 2
